Version,Count
v0.4.25+commit.59dbf8f1,1513
v0.4.21-nightly.2018.3.5+commit.cd6ffbdf,2
v0.4.13+commit.fb4cb1a,143
v0.4.19+commit.c4cbbb05,928
v0.4.24+commit.e67f0147,2556
v0.4.18+commit.9cf6e910,916
v0.4.21+commit.dfe3193c,818
v0.4.26+commit.4563c3fc,113
v0.4.11+commit.68ef5810,249
v0.4.8+commit.60cc1668,32
v0.4.20+commit.3155dd80,312
v0.4.23+commit.124ca40d,499
v0.4.17+commit.bdeb9e52,132
v0.4.15+commit.bbb8e64f,160
v0.4.16+commit.d7661dd9,284
v0.3.0-2016-03-11-1f9578c,1
v0.4.20-nightly.2018.1.6+commit.2548228b,44
v0.4.25-nightly.2018.5.18+commit.4d7b092c,9
v0.4.22-nightly.2018.3.8+commit.fbc29f6d,9
v0.4.24-nightly.2018.5.11+commit.43803b1a,3
v0.4.22+commit.4cb486ee,77
v0.4.14+commit.c2215d46,32
v0.3.3-2016-05-28-eb57a0c,1
v0.4.18-nightly.2017.10.18+commit.e854da1a,2
v0.4.15-nightly.2017.8.2+commit.4166ce1,1
v0.4.12+commit.194ff033,34
v0.4.25-nightly.2018.5.23+commit.18c651b7,10
v0.4.24-nightly.2018.5.7+commit.6db7e09a,1
v0.2.0-2015-12-21-6b711d0,1
v0.4.22-nightly.2018.3.21+commit.8fd53c1c,8
v0.4.18-nightly.2017.9.22+commit.a2a58789,4
v0.4.24-nightly.2018.5.10+commit.85d417a8,9
v0.4.20-nightly.2017.12.8+commit.226bfe5b,1
v0.4.25-nightly.2018.6.27+commit.b67dfa15,2
v0.3.5-2016-06-10-5f97274,4
v0.4.25-nightly.2018.8.16+commit.a9e7ae29,1
v0.4.22-nightly.2018.3.27+commit.af262281,1
v0.4.25-nightly.2018.5.21+commit.e97f9b6b,7
v0.4.16-nightly.2017.8.11+commit.c84de7fa,1
v0.4.11-nightly.2017.5.3+commit.1aa0f77a,3
v0.4.25-nightly.2018.6.22+commit.9b67bdb3,3
v0.4.25-nightly.2018.5.28+commit.c223b03,1
v0.4.10+commit.f0d539ae,15
v0.4.4+commit.4633f3de,7
v0.4.25-nightly.2018.6.6+commit.59b35fa5,2
v0.4.23-nightly.2018.4.17+commit.5499db01,3
v0.4.19-nightly.2017.11.11+commit.284c3839,20
v0.4.21-nightly.2018.3.1+commit.cf6720ea,7
v0.4.25-nightly.2018.6.14+commit.baeabe1c,8
v0.4.21-nightly.2018.2.27+commit.415ac2ae,2
v0.4.19-nightly.2017.10.29+commit.eb140bc6,8
v0.4.7+commit.822622cf,1
v0.4.22-nightly.2018.3.14+commit.c3f07b52,2
v0.4.23-nightly.2018.4.19+commit.ae834e3d,4
v0.3.5-2016-07-01-48238c9,5
v0.4.24-nightly.2018.4.24+commit.258ae892,3
v0.4.22-nightly.2018.3.13+commit.f2614be9,8
v0.4.16-nightly.2017.8.15+commit.dca1f45c,3
v0.4.25-nightly.2018.7.2+commit.a5608b31,1
v0.4.24-nightly.2018.4.23+commit.c7ee2ca0,2
v0.4.20-nightly.2018.1.19+commit.eba46a65,2
v0.4.25-nightly.2018.6.8+commit.81c5a6e4,7
v0.4.19-nightly.2017.11.17+commit.2b5ef806,1
v0.4.22-nightly.2018.3.12+commit.c6e9dd13,1
v0.4.22-nightly.2018.4.16+commit.d8030c9b,2
v0.5.8+commit.23d335f2,3
v0.3.2-2016-04-18-81ae2a7,1
v0.4.22-nightly.2018.3.7+commit.b5e804b8,1
v0.4.20-nightly.2018.2.13+commit.27ef9794,4
v0.4.6+commit.2dabbdf0,9
v0.4.20-nightly.2018.1.29+commit.a668b9de,7
v0.4.24-nightly.2018.5.16+commit.7f965c86,12
v0.3.1-2016-04-12-3ad5e82,2
v0.4.21-nightly.2018.2.23+commit.cae6cc2c,7
v0.4.24-nightly.2018.5.14+commit.7a669b39,1
v0.4.25-nightly.2018.6.3+commit.ef8fb63b,5
v0.4.25-nightly.2018.6.29+commit.c9cab803,1
v0.4.9+commit.364da425,12
v0.3.5-2016-07-19-427deb4,1
v0.5.10+commit.5a6ea5b1,1
v0.4.25-nightly.2018.7.12+commit.ff9974e9,1
v0.4.22-nightly.2018.3.16+commit.2b2527f3,3
v0.4.21-nightly.2018.3.6+commit.a9e02acc,3
v0.4.19-nightly.2017.11.22+commit.f22ac8fc,2
v0.4.24-nightly.2018.4.30+commit.9e61b25d,2
v0.4.15-nightly.2017.7.31+commit.93f90eb2,1
v0.4.2+commit.af6afb04,4
v0.4.19-nightly.2017.10.23+commit.dc6b1f02,1
v0.5.0+commit.1d4f565a,2
v0.4.20-nightly.2017.12.20+commit.efc198d5,8
v0.4.24-nightly.2018.5.4+commit.81d61ca0,1
v0.4.22-nightly.2018.4.6+commit.9bd49516,2
v0.3.5-2016-06-14-371690f,1
v0.4.21-nightly.2018.2.15+commit.f4aa05f3,1
v0.5.11+commit.c082d0b4,3
v0.4.19-nightly.2017.10.18+commit.f7ca2421,4
v0.4.25-nightly.2018.6.12+commit.56a965ea,4
v0.4.20-nightly.2018.1.24+commit.b177352a,1
v0.4.25-nightly.2018.6.7+commit.ddd256a6,1
v0.4.25-nightly.2018.6.4+commit.a074d84,1
v0.4.3-nightly.2016.9.30+commit.d5cfb17b,2
v0.4.19-nightly.2017.10.28+commit.f9b24009,1
v0.4.24-nightly.2018.5.15+commit.b8b46099,1
v0.4.16-nightly.2017.8.24+commit.78c2dcac,2
v0.4.11-nightly.2017.3.15+commit.157b86c,1
v0.4.25-nightly.2018.6.18+commit.4247b004,1
v0.4.12-nightly.2017.5.30+commit.254b5572,1
v0.4.22-nightly.2018.4.12+commit.c3dc67d0,2
v0.4.19-nightly.2017.10.27+commit.1e085f85,2
v0.3.5-2016-07-21-6610add,4
v0.4.22-nightly.2018.4.13+commit.2001cc6b,2
